,Dataset size,Window size,Hidden size,Num layers,Input size,Dropout,Train size,Val size,Test size,Batch size,Epochs,Learning rate,Train Loss,Val Loss,Test Loss,R2,R2_bar,MAPE,RMSE,Training time,Training device,Outputs,Input_0,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13
21/01/2025 14:32,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8988640540,41048125133,8977557777,-223.6927,-224.1432,0.9957,94757.6492,3.7745,cuda,Close_target,Open,Close,High,Low,Volume,Number of Trades,,,,,,,,
21/01/2025 14:32,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,9014448988,41165983710,8998526498,-218.6915,-219.1319,0.9971,94867.0267,3.6887,cuda,Close_target,Open,Close,High,Low,Volume,Taker Buy Base Asset Volume,,,,,,,,
21/01/2025 14:32,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8989733088,41053114436,8972319949,-222.5448,-222.993,0.9957,94738.5884,3.527,cuda,Close_target,Open,Close,High,Low,Volume,obv,,,,,,,,
21/01/2025 14:32,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,9023813744,41208749431,9015325559,-225.8831,-226.338,0.9978,94961.4892,3.6075,cuda,Close_target,Open,Close,High,Low,Volume,cmf_30,,,,,,,,
21/01/2025 14:32,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,9006160223,41128131686,8978604885,-218.2459,-218.6854,0.9964,94757.6365,3.646,cuda,Close_target,Open,Close,High,Low,Volume,ema_30,,,,,,,,
21/01/2025 14:33,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8989478688,41051952674,8986038613,-225.9821,-226.4372,0.9957,94796.2381,3.8199,cuda,Close_target,Open,Close,High,Low,Volume,atr_30,,,,,,,,
21/01/2025 14:33,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8996900595,41085846050,8998490999,-223.0046,-223.4537,0.9964,94866.0452,4.3522,cuda,Close_target,Open,Close,High,Low,Volume,rsi_30,,,,,,,,
21/01/2025 14:33,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8991569255,41061499597,8987608576,-224.4474,-224.8993,0.9957,94804.871,4.0999,cuda,Close_target,Open,Close,High,Low,Volume,ma_30,,,,,,,,
21/01/2025 14:33,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8987739614,41044010906,8979340937,-221.3408,-221.7865,0.9957,94766.1153,3.9756,cuda,Close_target,Open,Close,High,Low,Volume,bollinger_30,,,,,,,,
21/01/2025 14:33,100000,30,8,1,6,0,0.7,0.15,0.15,512,5,0.1,8990481191,41056530773,8979682065,-222.036,-222.4831,0.9957,94755.2554,4.0148,cuda,Close_target,Open,Close,High,Low,Number of Trades,Taker Buy Base Asset Volume,,,,,,,,
